26
19340335,N,Shirt,20.00
22531948,N,Dell Laptop,800.00
49465905,N,Alienware Laptop,1500.00
56641358,N,Macbook Pro,1200.00
69086895,N,Macbook Air,1000.00
19475949,N,Webcam,50.00
10682939,N,Microphone,30.00
06166172,N,Headset,60.00
40516953,N,Keyboard,80.00
01250099,N,Mouse,50.00
02328492,N,Monitor,200.00
11918993,U,Macbook Pro,960.00
70447052,U,Alienware Laptop,1200.00
89563871,U,Mouse,40.00
25662269,U,Keyboard,64.00
54302512,U,Monitor,160
98444614,G,Microsoft,
95629102,G,Playstation,
30778435,G,Apple,
71705951,G,Blizzard,
34977297,G,Matrix,
37840314,R,Dell Laptop,10.00
97942611,R,Macbook Pro,20.00
87375136,R,Webcam,5.00
72400813,S,Computer Repair,50.00
16115009,P,Warranty,10.00
